OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
14365,1677 Bush Street,,Bush Street,SIDEWALK,1,2,,2021,12,,,POINT (-122.424805756 37.788133489),12/29/2021 16:46,6/17/2024 10:17,Western Addition,2,100,4,6,39,6,,,100
21843,756 Irving St,Ambiance,Irving St,SIDEWALK,4,8,,2024,4,,,POINT (-122.465855359 37.764119118),1/26/2024 11:52,6/17/2024 10:17,Inner Sunset,7,109,10,11,14,151,,,109
13468,1250 Ocean Avenue,,Ocean Avenue,SIDEWALK,5,10,,2020,2,,,POINT (-122.45499408 37.723972811),6/19/2020 13:18,6/17/2024 10:17,West of Twin Peaks,7,71,9,8,41,106,13,,71
11868,2201 IRVING ST,Supermarket,IRVING,SIDEWALK,1,2,,2010,0,37.763114,-122.4816,POINT (-122.481599786 37.76311401),1/29/2020 12:38,6/17/2024 10:17,Sunset/Parkside,4,39,10,7,35,62,,,39
12669,401 waller,Animal House Pet Mercantile,waller,SIDEWALK,1,2,,2019,12,37.77114463,-122.4304235,POINT (-122.430423516 37.771144625),1/31/2020 14:21,6/17/2024 10:17,Hayes Valley,5,28,7,11,9,137,,,28
9134,2323 CHESTNUT ST,UNKNOWN,CHESTNUT,SIDEWALK,1,2,,2004,0,37.799924,-122.441474,POINT (-122.441473788 37.799924004),1/29/2020 12:38,6/17/2024 10:17,Marina,2,17,4,6,13,82,,,17
9756,2101 MISSION ST,Thrift Town,MISSION,SIDEWALK,1,2,,2005,0,37.763169999999995,-122.418997,POINT (-122.418996794 37.763170005),1/29/2020 12:38,6/17/2024 10:17,Mission,9,53,3,2,20,177,,,53
21504,3300 22nd Street,Boogaloos,22nd Street,SIDEWALK,2,4,,2024,4,,,POINT (-122.421053316 37.755357211),1/26/2024 11:52,6/17/2024 10:17,Mission,9,52,3,5,20,76,,,52
14345,102 Hartford Street,Nail Me,Hartford Street,SIDEWALK,2,4,,2021,11,,,POINT (-122.433895425 37.76076815),12/29/2021 16:46,6/17/2024 10:17,Castro/Upper Market,8,38,3,5,5,162,,,38
13853,915 Columbus Ave,Cobb's Comedy Club,Columbus Ave,SIDEWALK,2,4,,2020,10,,,POINT (-122.413978991 37.802933706),12/31/2020 12:11,6/17/2024 10:17,North Beach,3,106,6,3,23,50,,,106
10844,544 HAIGHT ST,Pandora's Trunk,HAIGHT,SIDEWALK,1,2,,2010,10,37.772037,-122.43118,POINT (-122.431179792 37.772037006),1/29/2020 12:38,6/17/2024 10:17,Hayes Valley,5,26,4,11,9,137,,,26
9697,3689 18TH ST,Dolores Park Chiropractic,18TH,SIDEWALK,1,2,,0,0,37.761314999999996,-122.425697,POINT (-122.425697493 37.761315145),1/29/2020 12:38,6/17/2024 10:17,Mission,8,37,3,5,20,76,,,37
12387,400 MCALLISTER ST,Superior Court House,MCALLISTER,SIDEWALK,3,6,,2010,9,37.780514,-122.419001,POINT (-122.419000793 37.780514003),1/29/2020 12:38,6/17/2024 10:17,Tenderloin,5,21,4,10,36,132,8,1,21
9059,4235 19TH ST,Harvey Milk Civil Rights Academy,19TH,SIDEWALK,1,2,,2006,0,37.758922999999996,-122.436434,POINT (-122.436433793 37.758923006),1/29/2020 12:38,6/17/2024 10:17,Castro/Upper Market,8,115,3,5,5,171,,,115
12523,3431 California Street,Laurel Village,California Street,SIDEWALK,4,8,,2019,12,37.78674994,-122.4506811,POINT (-122.450681129 37.786749942),1/31/2020 14:21,6/17/2024 10:17,Presidio Heights,2,11,8,6,31,77,,,11
14301,1500 Owens Street,UCSF,Owens Street,SIDEWALK,2,4,,2021,9,,,POINT (-122.395642093 37.769276231),12/29/2021 16:46,6/17/2024 10:17,Mission Bay,6,34,1,10,4,68,,,34
11804,3979 24TH ST,Sway,24TH,SIDEWALK,1,2,,2004,0,37.751211,-122.431298,POINT (-122.431297794 37.751211006),1/29/2020 12:38,6/17/2024 10:17,Noe Valley,8,84,3,5,22,84,12,,84
10177,1351 HARRISON ST,Circle Community Acupuncture,HARRISON,SIDEWALK,1,2,,2010,9,37.77186,-122.4106,POINT (-122.410599794 37.771860004),1/29/2020 12:38,6/17/2024 10:17,South of Market,6,32,1,10,34,179,,,32
11308,435 BRANNAN ST,TechSoup Global,BRANNAN,SIDEWALK,2,4,,2015,10,37.779488,-122.394938,POINT (-122.394938436 37.779488311),1/29/2020 12:38,6/17/2024 10:17,South of Market,6,32,1,10,34,179,,,32
